Moroccan,Latin/Digit Arabic,Moroccan Arabic,Arabic,French
mofradat,almofradat,مفردات,مفردات,vocabulaire
boldane,boldan,بلدان,البلدان,pays
oustouraliya,ostoralia,استراليا,أستراليا,australie
kombodje,kambodia,كامبودج,كمبوديا,cambodge
canada,canada,كندا,كندا,canada
sine,sin,الصين,الصين,chine
missre,masr,مصر,مصر,egypte
naglize,inglaterra,نجليز,انكلترا,eangleterre
franssa,faransa,فرانسا,فرنسا,france
almaniya,almania,المانيا,ألمانيا,allemagne
younane,alyounan,يونان,اليونان,grece
lhind,alhind,لهند,الهند,inde
andounissiya,indonisia,اندونيسيا,أندونيسيا,indonisie
taliane,italia,ايطاليا,إيطاليا,italie
japoune,alyaban,ليابان,اليابان,japon
mixik,almixik,لمكسيك,المكسيك,mexique
maghrib,almaghrib,لمغريب,المغرب,maroc
pirou,birou,بيرو,بيرو,perou
sbaniya,2ispania,اسبانيا,إسبانيا,espagne
taylande,tailand,طايلاند,تايلاند,thailand
mirikane,Alwilayat almota7ida alamrikia,ميريكان,الولايات المتحدة الأمريكية,amerique
loghat,loghat,لوغات,لغات,langues
3arbia,al3arabia,لعربية,العربية,arabe
siniya,asinia,صينية,الصينية,chinoise
nagliziya,al2inglizia,نجليزية,الإنجليزية,anglaise
fransawiya,alfaransia,فرنساويا,الفرنسية,francaise
almania,alalmania,المانيا,الألمانية,allemande
younaniya,alyounanya,يونانيا,اليونانية,grec 
ihoudiya,al3ibria,يهودية,العبرية,hebreu
hindiya,alhindia,هندية,الهندية,hindi
italiya,al2italia,ايطالية,الإيطالي,italien
japoniya,alyabania,جابونية,اليابانية,japonais
kordiya,alkouria,كورية,الكورية,koreen
latiniya,latinia,لاتينية,لاتينية,latin
roussiya,roussia,روسية,الروسية,russe
spaniouliya,2ispania,صبليونية,الأسبانية,espagnole
2ordia,al2ordia,الاردية,الأردية,urdu
lyamate,2ayam,ليامات,أيام,jours
tnine,2ithnayn,تنين,الاثنين,lundi
tlate,tholatha2,تلات,الثلاثاء,mardi
