Moroccan,Moroccan Arabic,Arabic,French,English
lmofradat,مفردات,المفردات,vocabulaire,vocabulary
boldane,بلدان,البلدان,pays,country
oustouraliya,استراليا,أستراليا,australie,Australia
kombodje,كامبودج,كمبوديا,cambodge,Cambodia
canada,كندا,كندا,canada,Canada
chinwa,شينوا,الصين,chine,China
misre,مصر,مصر,egypte,Egypt
naglize,نجليز,انكلترا,eangleterre,eangleterre
fransa,فرانسا,فرنسا,france,France
almaniya,المانيا,ألمانيا,allemagne,Germany
lyounane,ليونان,اليونان,grece,Greece
hind,لهند,الهند,inde,India
andounissiya,أندونيسيا,أندونيسيا,indonisie,indonisie
taliane,طاليان,إيطاليا,italie,Italy
japoune,جاپون,اليابان,japon,Japan
lmixik,لمكسيك,المكسيك,mexique,Mexico
lmaghrib,لمغريب,المغرب,maroc,Morocco
lpirou,لپيرو,بيرو,perou,Peru
sbaniya,سبنيا,إسبانيا,espagne,Spain
taylande,طايلاند,تايلاند,thailand,thailand
mirikane,ميريكان,الولايات المتحدة الأمريكية,amerique,America
loghat,لوغات,لغات,langues,languages
l3arbia,لعربية,العربية,arabe,Arab
chinwiya,شينويا,الصينية,chinoise,Chinese
nagliziya,نجليزية,الإنجليزية,anglaise,English
fransawiya,فرنساويا,الفرنسية,francaise,French
almania,المانيا,الألمانية,allemande,German
younaniya,يونانيا,اليونانية,grec ,Greek
ihoudiya,يهودية,العبرية,hebreu,Hebrew
hindiya,هندية,الهندية,hindi,Hindi
italiya,ايطالية,الإيطالي,italien,Italian
japoniya,جابونية,اليابانية,japonais,Japanese
kordiya,كورية,الكورية,koreen,Koreen
latiniya,لاتينية,لاتينية,latin,Latin
roussiya,روسية,الروسية,russe,Russian
spaniouliya,صبليونية,الأسبانية,espagnole,Spanish
2ordia,الاردية,الأردية,urdu,Urdu
lyamate,ليامات,أيام,jours,days
tnine,تنين,الاثنين,lundi,on Monday
tlate,تلات,الثلاثاء,mardi,Tuesday
larb3a,لاربعا,الأربعاء,mercredi,Wednesday
5amis,الخميس,الخميس,jeudi,Thursday
jam3a,جمعة,الجمعة,vendredi,Friday
sabte,سبت,السبت,samedi,Saturday
7add,الحد,الأحد,dimanche,Sunday
marra,مرة,مرة,fois,times
sa3a,ساعة,ساعة,heure ,hour
d9i9a,دقيقة,دقيقة,minute,minute
taniya,تانية,تانية,seconde,second
sme7lia,سمحلي,اسف,pardon,sorry
besse7a,بصحة,تهاني,felicitations,Congratulations
beslama,بسلامة,وداعا,au revoir,goodbye
bessa7,بصح,حقا,c’est vrai,That is true
salam,سلام,مرحبا,salut,Hi
wa7ed,واحد,واحد,un,a
jouj,جوج,اثنان,deux,two
tlata,تلاتة,ثلاثة,trois,three
reb3a,ربعة,اربعة,quatre,four
5emsa,خمسة,خمسة,cinq,five
setta,ستة,ستة,six,six
seb3a,سبعة,سبعة,sept,seven
tmania,تمنية,ثمانية,huit,eight
tes3oud,تسعود,تسعة,neuf,new
3achra,عشرة,عشرة,dix,ten
iyeh,إييه,بالطبع,biensur,of course
Lla,لا,لا,non,no
3afak,عافاك,ارجوك,s’il vous plait,please
chokran,شكرا,شكرا,merci,thank you
Kanbghik,كنبغيك,احبك,je t’aime,I love you
Twe77eshtek,توحشتك,اشتقت,tu me manques,I miss you
Bezzaf,بزاف,كثير,beaucoup,a lot
chwia,شوية,قلبل,peu,little
Wakha,واخا,نعم,oui,Yes
Daba,دابا,حالا,maintenant,now
W,و,و,et,and
Mashi,ماشي,ليس,n’est pas,is not
Bghit,بغيت,اريد,je veux,I want
Salit,ساليت,انتهيت,j’ai terminé,I'm done
Zwin,زوين,جميل,beau ,handsome
5ayb,خايب,قبيح,moche,ugly
Mezyan,مزيان,جيد,c’est bien,it's good
hder,هضر,تكلم,parle,speak
fhem,فهم,فهم,comprend,comprises
flous,فلوس,نقود,argent,money
Hak,هاك,خد,tiens,here
Safi,صافي,مفهوم,compris,understood
Mebrouk,مبروك,مبروك,congratulations,congratulation
3ya,عيا,تعب,fatigue,tired
twalit,طواليط,مرحاض,toilette,toilet
7edash,حضاش,احد عشر,onze,eleven
Tenash,طناش,اثتا عشر,douze,twelve
Teletash,تلطاش,ثلاثة عشر,treize,thirteen
Rebe3tash,ربعطاش,اربعة عشر,quatorze,fourteen
Khemstash,خمسطاش,خمسة عشر,quinze,fifteen
Settash,سطاش,ستة عشر,seize,sixteen
Sebe3tash,سبعطاش,سبعة عشر,dix sept,seventeen
Tementash,تمنطاش,ثمانية عشر,dix huit,eighteen
Teze3tash,تزعطاش,تسعة عشر,dix neuf,nineteen
7la9em,حلاقم,لوزتين,amygdales,tonsils
Le7ia,لحية,لحية,barbe,beard
Fomm,فم,فم,bouche,mouth
Dra3,دراع,دراع,bras,arms
Mo5,مخ,مخ,cerveau,brain
Sh3er,شعر,شعر,cheuveux,Hair
Shefr,شفر,رمش,cils,eyelashes
9elb,قلب,قلب,coeur,heart
3en9,عنق,عنق,cou ,neck
Senna,سنة,سن,dent,tooth
Sbe3,صبع,اصبع,doigt,finger
Deher,ضهر,ظهر,dos,back
Ktef,كتف,كتف,epaule,shoulder
Me3da,معدة,معدة,estomac,stomach
Kebda,كبدة,كبد,foie,liver
Jebha,جبهة,جبهة,front,forehead
Rekba,ركبة,ركبة,genou,knee
7el9a,حلق,حلق,gorge,throat
7enk,حنك,حنك,bouche,mouth
lsan,لسان,لسان,langue ,language
yedd,يد,يد,main ,hand
Ders,ضرس,ضرس,pignon,pinion
Nif,نيف,انف,nez,nose
3in,عين,عين,œil,eye
Defer,ضفر,ظفر,ongle,nail
Wden,ودن,ادن,oreille,hear
srdine,سردين,سردين,sardine,sardine
3dem,عضم,عظم,os,bone
Jeld,جلد,جلد,chaire,pulpit
Rjel,رجل,رجل,pied,foot
Sder,سدر,صدر,poitrine,chest
Riya,رية,رئة,poumon,lung
7ajeb,حاجب,حاجب,sourcil,eyebrow
Ras,راس,راس,tete,head
3er9,عرق,عرق,sueur,sweat
Kersh,كرش,كرش,rumen,rumen
Wjeh,وجه,وجه,visage,face
Zebda,زبدة,زبدة,beurre,Butter
Meslouq,مسلوق,مسلوق,bouilli,boiled
Qehwa,قهوة,قهوة,café,coffee
Kofitir,كوفيتير,مربا,confiture,jam
Kamoun,كامون,كمون,cumin,cumin
Ma,ما,ماء,eau,water
Degig,دڭيڭ,دقيق ,la farine,flour
Meqli,مقلي,مقلي,frit,fried
Fermaj,فرماج,جبن,fromage,cheese
Fakia,فاكية,فاكهة,fruits,fruits
7elwa,حلوة,حلوة,sucrée,sweet
Zit,زيت,زيت,huile,oil
3asir,عصير,عصير,jus,juice
7lib,حليب,حليب,lait,milk
Khodra,خضرة,خضروات,legumes,vegetables
3des,عدس,عدس,lentilles,lentils
3sel,عسل,عسل,miel,honey
Bida,بيضة,بيضة,œuf,egg
Khobz,خبز,خبز,pain,bread
7out,حوت,سمك,possoin,possoin
Ibzar,إبزار,إبزار,poivron,pepper
Rouz,روز,ارز,riz,rice
Meshwi,مشوي,مشوي,grillé,wire rack
Shelada,شلاضة,سلطة,salade,salad
Mel7a,ملحة,ملح,sel,salt
7rira,حريرة,حساء,soupe,soup
Sekkar,سكر,سكر,sucre,sugar
Atay,أتاي,شاي,thé,tea
L7em,لحم,لحم,viande,meat
Khell,خل,خل,vinaigre,vinegar
Shkoun,شكون,من,Qui ,who
Ashno,أش شنو,مادا,Quoi ,What
3lash,علاش,لما,Pourquoi ,Why
Lash,لاش,لمادا,Pour quelle raison ,Why
Fin,فين,اين,ou ,or
Imta,فوقاش,متا,quand,when
Lemen,لمن,لمن,pour qui,for who
Kifash,كيفاش,كيف,comment,How? 'Or' What
Sh7al,شحال,كم,combien,how much
Feddi,فضي,فضي,Argent,Money
Bij,بيج,بيج,Beige,Beige
Byed,بيض,ابيض,Blanc,White
zre9,زرق,ازرق,Bleu,Blue
Shibi,شيبي,وردي,Bleu ciel,Sky blue
Grouna,ڭرونة,رمادي,Bordeaux,Bordeaux
Rmadi,رمادي,رمادي,Gris,Grey
Sfer,صفر,اصفر,Jaune,Yellow
9ehwi,قهوي,بني,Marron,Brown
Mauve,موڤ,بنفسجي,Mauve,Mauve
K7el,كحل,اسود,Noir,Black
5ezzi,خزي,خزي,Olive,Olive
Dehbi,دهبي,دهبي,Or,Gold
Limouni,ليموني,برتقالي,Orange,Orange
Ponja,بونجة,اسفنجة,eponge,sponge
7mer,حمر,احمر,Rouge,Red
7aris,حارس,حارس,gardien,guardian
5der,خضر,اخضر,Vert,Green
Banafsaji,بنفسجي,بنفسجي,Violet,Purple
7amd,حامض,حامض,Acide,Acid
Nashit,نشيط,نشيط,Actif,Active
Sharf,شارف,عجوز,Âgé,Age
9dim,قديم,قديم,Ancien,Former
Temma3,طماع,طماع,Avide,greedy
